region,year,category,subcategory,subcategory_contribution,subcategory_weight_total,subcategory_score
경북,2018,사회·문화,사회적 가치관,7.264274447659879,0.1322645290581162,54.92231741488304
경북,2019,사회·문화,사회적 가치관,6.576187042748034,0.1322645290581162,49.71995961107984
경북,2020,사회·문화,사회적 가치관,5.88809963783618,0.1322645290581162,44.517601807276584
경북,2021,사회·문화,사회적 가치관,6.561246871237295,0.1322645290581162,49.60700285980926
경북,2022,사회·문화,사회적 가치관,7.234394104638415,0.1322645290581162,54.69640391234197
경북,2023,사회·문화,사회적 가치관,7.7180747470323805,0.1322645290581162,58.35332270862362
경북,2024,사회·문화,사회적 가치관,8.307849931451564,0.1322645290581162,62.81238054233835
광주,2016,사회·문화,사회적 가치관,5.979707078035626,0.1322645290581162,45.21020957484512
광주,2017,사회·문화,사회적 가치관,6.3071429017640845,0.1322645290581162,47.68582284818604
광주,2018,사회·문화,사회적 가치관,6.634578725492539,0.1322645290581162,50.16143612152694
광주,2019,사회·문화,사회적 가치관,7.83964023364952,0.1322645290581162,59.27243146350169
광주,2020,사회·문화,사회적 가치관,9.044701741806506,0.1322645290581162,68.38342680547647
광주,2021,사회·문화,사회적 가치관,9.242089225004635,0.1322645290581162,69.87579580723205
광주,2022,사회·문화,사회적 가치관,9.439476708202768,0.1322645290581162,71.36816480898761
광주,2023,사회·문화,사회적 가치관,9.625593527709556,0.1322645290581162,72.77532076253135
광주,2024,사회·문화,사회적 가치관,9.94432852474787,0.1322645290581162,75.1851505128665
대구,2016,사회·문화,사회적 가치관,5.534340351246928,0.1322645290581162,41.84296720109421
대구,2017,사회·문화,사회적 가치관,5.47902224026201,0.1322645290581162,41.42472875592035
대구,2018,사회·문화,사회적 가치관,5.423704129277092,0.1322645290581162,41.00649031074651
대구,2019,사회·문화,사회적 가치관,5.833123397034832,0.1322645290581162,44.101948107884574
대구,2020,사회·문화,사회적 가치관,6.2425426647925795,0.1322645290581162,47.1974059050227
대구,2021,사회·문화,사회적 가치관,5.72228720224596,0.1322645290581162,43.26395930182932
대구,2022,사회·문화,사회적 가치관,5.2020317396993425,0.1322645290581162,39.33051269863595
대구,2023,사회·문화,사회적 가치관,5.538049647103032,0.1322645290581162,41.871011725824445
대구,2024,사회·문화,사회적 가치관,6.04205057938,0.1322645290581162,45.681564228948794
대전,2016,사회·문화,사회적 가치관,6.3038699435944325,0.1322645290581162,47.661077300812465
대전,2017,사회·문화,사회적 가치관,5.980047588380986,0.1322645290581162,45.21278403942595
대전,2018,사회·문화,사회적 가치관,5.656225233167538,0.1322645290581162,42.76449077803942
대전,2019,사회·문화,사회적 가치관,6.3769836120461525,0.1322645290581162,48.21386094562168
대전,2020,사회·문화,사회적 가치관,7.097741990924775,0.1322645290581162,53.663231113204
대전,2021,사회·문화,사회적 가치관,7.669904485987685,0.1322645290581162,57.98912634102812
대전,2022,사회·문화,사회적 가치관,8.242066981050598,0.1322645290581162,62.315021568852266
대전,2023,사회·문화,사회적 가치관,8.842149821096905,0.1322645290581162,66.85201152617208
대전,2024,사회·문화,사회적 가치관,9.265408424434495,0.1322645290581162,70.05210308776992
부산,2016,사회·문화,사회적 가치관,7.02146690398351,0.1322645290581162,53.08654522860261
부산,2017,사회·문화,사회적 가치관,6.9445310930591315,0.1322645290581162,52.50486387025011
부산,2018,사회·문화,사회적 가치관,6.867595282134758,0.1322645290581162,51.92318251189765
부산,2019,사회·문화,사회적 가치관,7.236381880483489,0.1322645290581162,54.71143270244337
부산,2020,사회·문화,사회적 가치관,7.605168478832225,0.1322645290581162,57.499682892989114
부산,2021,사회·문화,사회적 가치관,6.378761364401744,0.1322645290581162,48.22730183085562
부산,2022,사회·문화,사회적 가치관,5.152354249971264,0.1322645290581162,38.95492076872214
부산,2023,사회·문화,사회적 가치관,5.6208254803946405,0.1322645290581162,42.496847192680704
부산,2024,사회·문화,사회적 가치관,6.36337427771652,0.1322645290581162,48.11096613000825
서울,2016,사회·문화,사회적 가치관,4.514862083080103,0.1322645290581162,34.135093628135934
서울,2017,사회·문화,사회적 가치관,4.736924846826566,0.1322645290581162,35.81402270555238
서울,2018,사회·문화,사회적 가치관,4.958987610573029,0.1322645290581162,37.492951782968824
서울,2019,사회·문화,사회적 가치관,5.387568950894532,0.1322645290581162,40.733286462066246
서울,2020,사회·문화,사회적 가치관,5.816150291216036,0.1322645290581162,43.97362114116368
서울,2021,사회·문화,사회적 가치관,4.836233855269233,0.1322645290581162,36.56485899665679
서울,2022,사회·문화,사회적 가치관,3.856317419322429,0.1322645290581162,29.156096852149886
서울,2023,사회·문화,사회적 가치관,4.588962337892747,0.1322645290581162,34.69533646376487
서울,2024,사회·문화,사회적 가치관,5.631049670703311,0.1322645290581162,42.57414826789322
세종,2016,사회·문화,사회적 가치관,6.115284578457506,0.1322645290581162,46.23525764621661
세종,2017,사회·문화,사회적 가치관,6.4090722261981075,0.1322645290581162,48.4564703162554
세종,2018,사회·문화,사회적 가치관,6.702859873938701,0.1322645290581162,50.67768298629413
세종,2019,사회·문화,사회적 가치관,7.024515938474075,0.1322645290581162,53.109597777250976
세종,2020,사회·문화,사회적 가치관,7.346172003009444,0.1322645290581162,55.541512568207786
세종,2021,사회·문화,사회적 가치관,6.496606895733329,0.1322645290581162,49.11828546925655
세종,2022,사회·문화,사회적 가치관,5.647041788457221,0.1322645290581162,42.69505837030536
세종,2023,사회·문화,사회적 가치관,6.289099498516915,0.1322645290581162,47.549403784241534
세종,2024,사회·문화,사회적 가치관,6.9930456914246575,0.1322645290581162,52.87166363668038
울산,2016,사회·문화,사회적 가치관,4.669197169399708,0.1322645290581162,35.30196041712811
울산,2017,사회·문화,사회적 가치관,4.081030856008848,0.1322645290581162,30.855066623460843
울산,2018,사회·문화,사회적 가치관,3.4928645426179883,0.1322645290581162,26.408172829793585
울산,2019,사회·문화,사회적 가치관,4.433053893967882,0.1322645290581162,33.51657413772688
울산,2020,사회·문화,사회적 가치관,5.373243245317776,0.1322645290581162,40.62497544566017
울산,2021,사회·문화,사회적 가치관,5.449125176705904,0.1322645290581162,41.19868883600374
울산,2022,사회·문화,사회적 가치관,5.525007108094033,0.1322645290581162,41.77240222634732
울산,2023,사회·문화,사회적 가치관,5.736378961363157,0.1322645290581162,43.3705015412154
울산,2024,사회·문화,사회적 가치관,5.91238596729054,0.1322645290581162,44.70122117693909
인천,2016,사회·문화,사회적 가치관,5.543619833970374,0.1322645290581162,41.91312571441239
인천,2017,사회·문화,사회적 가치관,5.60667608621775,0.1322645290581162,42.389869197313
인천,2018,사회·문화,사회적 가치관,5.669732338465124,0.1322645290581162,42.8666126802136
인천,2019,사회·문화,사회적 가치관,6.257159323324956,0.1322645290581162,47.30791670210839
인천,2020,사회·문화,사회적 가치관,6.844586308184788,0.1322645290581162,51.74922072400319
