시차,군집,모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차,추정가능,추정불가사유,추론가능,분석구분,FDR_q값,FDR_0.05_유의
t+1,3,3-3. 아동안전 수준,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.003194682850443345,0.007126681615192576,-0.44827074127079813,0.6675039905632787,-0.02004660703110814,0.013657241330221451,48,8,6,34.0,7.0,True,True,True,True,,,,0.8389881469751045,False
t+1,3,4-1. 일·가정 양립 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0016057060868594087,0.0039849487830201395,0.4029427162781413,0.699013034789275,-0.007817200446825164,0.011028612620543981,48,8,6,34.0,7.0,True,True,True,True,,,,0.8389881469751045,False
t+1,3,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0003550103346932742,0.022074015988984334,0.01608272526713925,0.9876171865978749,-0.05184174320290595,0.0525517638722925,48,8,6,34.0,7.0,True,True,True,True,,,,0.9876171865978749,False
t+2,1,1-1. 고용여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.00503686584558131,0.0056859187709064766,0.8858490682902085,0.4097946137335968,-0.008876076179597441,0.01894980787076006,35,7,5,23.0,6.0,True,True,True,True,,,,0.8072221658393164,False
t+2,1,1-2. 주거안정성,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.003928299589403869,0.0019716950178699337,-1.992346460178055,0.09341178644163728,-0.008752863495473322,0.0008962643166655826,35,7,5,23.0,6.0,True,True,True,True,,,,0.8072221658393164,False
t+2,1,1-3. 경제적 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0024364385768669283,0.02620473338213663,0.09297704125956922,0.9289486784931268,-0.06168423409197764,0.0665571112457115,35,7,5,23.0,6.0,True,True,True,True,,,,0.9628133856870068,False
t+2,1,2-1. 돌봄 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.024273807011226417,0.02073437468107457,1.1707035965440753,0.286105323816185,-0.026461380121975346,0.07500899414442819,35,7,5,23.0,6.0,True,True,True,True,,,,0.8072221658393164,False
t+2,1,2-2. 여가 인프라,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.005039700866460859,0.00609989725126807,0.8261943863748176,0.440302999548718,-0.009886210008433663,0.01996561174135538,35,7,5,23.0,6.0,True,True,True,True,,,,0.8072221658393164,False
t+2,1,2-3. 가사수행 격차,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0025068662346489183,0.0019175601262715527,-1.307320798082715,0.2389642389409985,-0.007198966832905843,0.002185234363608006,35,7,5,23.0,6.0,True,True,True,True,,,,0.8072221658393164,False
t+2,1,3-1. 의료서비스 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0009916336052464142,0.012479152637529953,0.07946321629756843,0.9392482225310046,-0.02954375287577275,0.03152702008626558,35,7,5,23.0,6.0,True,True,True,True,,,,0.9628133856870068,False
t+2,1,3-2. 산후조리 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.023550279165168442,0.027535073023958887,-0.8552829747237937,0.42522430690810853,-0.09092617566963586,0.043825617339298975,35,7,5,23.0,6.0,True,True,True,True,,,,0.8072221658393164,False
t+2,1,3-3. 아동안전 수준,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0003500379473481974,0.007202026506880928,0.04860270189421903,0.9628133856870068,-0.017272686064599023,0.017972761959295418,35,7,5,23.0,6.0,True,True,True,True,,,,0.9628133856870068,False
t+2,1,4-1. 일·가정 양립 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0033079414149631003,0.008408579136996493,-0.3934007590424703,0.7076220939798041,-0.02388299335657024,0.01726711052664404,35,7,5,23.0,6.0,True,True,True,True,,,,0.9628133856870068,False
t+2,1,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0019646360514035677,0.003885209965834595,0.505670496235726,0.6311233194129447,-0.007542130258183682,0.011471402360990817,35,7,5,23.0,6.0,True,True,True,True,,,,0.9628133856870068,False
t+2,2,1-1. 고용여건,합계출산율,log1p_3개년평균예산,,-0.12610299618330162,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,1-2. 주거안정성,합계출산율,log1p_3개년평균예산,,0.04151095321060466,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,1-3. 경제적 여건,합계출산율,log1p_3개년평균예산,,-0.05608191717563504,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,2-1. 돌봄 여건,합계출산율,log1p_3개년평균예산,,0.48586221339591273,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,2-2. 여가 인프라,합계출산율,log1p_3개년평균예산,,-0.08668633817787795,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,2-3. 가사수행 격차,합계출산율,log1p_3개년평균예산,,0.06271123919570754,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,3-1. 의료서비스 여건,합계출산율,log1p_3개년평균예산,,-0.1276106495871518,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,3-2. 산후조리 여건,합계출산율,log1p_3개년평균예산,,0.2369171317287065,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,3-3. 아동안전 수준,합계출산율,log1p_3개년평균예산,,0.05823634669309928,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,4-1. 일·가정 양립 여건,합계출산율,log1p_3개년평균예산,,-0.02232711119717351,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,2,4-2. 사회적 가치관,합계출산율,log1p_3개년평균예산,,-0.037368500074372424,,,,,,10,2,5,3.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+2,3,1-1. 고용여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.007780785736757112,0.010749506559254733,0.7238272467547158,0.49264618384976205,-0.017637758165912336,0.03319932963942656,40,8,5,27.0,7.0,True,True,True,True,,,,0.6693183099450941,False
t+2,3,1-2. 주거안정성,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0037337777027013214,0.002677369088743402,1.394569661089848,0.2058039724017213,-0.0025971941750062002,0.010064749580408844,40,8,5,27.0,7.0,True,True,True,True,,,,0.5659609241047335,False
t+2,3,1-3. 경제적 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.013728311205172317,0.017565905979425464,0.7815316341355787,0.46010151401895355,-0.027808456074975833,0.05526507848532047,40,8,5,27.0,7.0,True,True,True,True,,,,0.6693183099450941,False
t+2,3,2-1. 돌봄 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.052687577081810155,0.013668354210906886,3.8547125914960003,0.006254154002153473,0.020367055235339382,0.08500809892828093,40,8,5,27.0,7.0,True,True,True,True,,,,0.047612110891104294,True
t+2,3,2-2. 여가 인프라,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.002885677876936117,0.0044244362824540345,0.6522136816343894,0.5350852354232865,-0.007576451456181714,0.013347807210053948,40,8,5,27.0,7.0,True,True,True,True,,,,0.6693183099450941,False
t+2,3,2-3. 가사수행 격차,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.03272996104955669,0.009073586720547049,3.60716903442825,0.008656747434746235,0.011274337841220897,0.05418558425789248,40,8,5,27.0,7.0,True,True,True,True,,,,0.047612110891104294,True
t+2,3,3-1. 의료서비스 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0009824809770970916,0.01601836883002952,0.06133464571344129,0.9528071849637225,-0.03689494242934864,0.03885990438354282,40,8,5,27.0,7.0,True,True,True,True,,,,0.9528071849637225,False
t+2,3,3-2. 산후조리 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.017923499229932638,0.009067368367680368,1.9767035487186082,0.08861134030171872,-0.0035174199104096374,0.03936441837027491,40,8,5,27.0,7.0,True,True,True,True,,,,0.3249082477729687,False
t+2,3,3-3. 아동안전 수준,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0036145723339078076,0.00956694966737938,0.3778186840715267,0.7167608973830131,-0.019007668863344995,0.02623681353116061,40,8,5,27.0,7.0,True,True,True,True,,,,0.7884369871213144,False
t+2,3,4-1. 일·가정 양립 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0034054524123728613,0.005390577656033375,-0.6317416480516382,0.5476240717732589,-0.016152143067923563,0.009341238243177842,40,8,5,27.0,7.0,True,True,True,True,,,,0.6693183099450941,False
t+2,3,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.01145202610835672,0.010760311397836694,-1.0642838933693957,0.3225291406013526,-0.03689611939437162,0.013992067177658177,40,8,5,27.0,7.0,True,True,True,True,,,,0.6693183099450941,False
