지역,연도,구조환경종합지수,합계출산율,구조환경_연도별순위,TFR_연도별순위,구조환경_연도별순위점수,TFR_연도별순위점수,순위차이_TFR_minus_구조환경,절대순위차이,연도별_Spearman_rho,구조환경_시도내_z,TFR_시도내_z,시도별_동시점_Pearson_r
대구,2016,30.95257381359471,1.186,15.0,13.0,12.5,25.0,-2.0,2.0,0.497854170829175,-1.161981831928425,1.9191185108140227,-0.8837477699987599
대구,2017,32.27555010045548,1.067,17.0,13.0,0.0,25.0,-4.0,4.0,0.4558823529411765,-0.9792381683835699,1.1570213936164628,-0.8837477699987599
대구,2018,31.818855418486308,0.987,17.0,13.0,0.0,25.0,-4.0,4.0,0.5637254901960785,-1.0423217324151923,0.6446871971811285,-0.8837477699987599
대구,2019,34.4978329792392,0.932,17.0,13.0,0.0,25.0,-4.0,4.0,0.4607843137254902,-0.6722726401762743,0.29245743713183653,-0.8837477699987599
대구,2020,39.337371066387725,0.807,17.0,14.0,0.0,18.75,-3.0,3.0,0.5220588235294118,-0.003783772542130302,-0.5080647447983736,-0.8837477699987599
대구,2021,40.09583322069492,0.785,17.0,14.0,0.0,18.75,-3.0,3.0,0.5416666666666667,0.10098314891729168,-0.6489566488180907,-0.8837477699987599
대구,2022,44.573723595222305,0.757,15.0,14.0,12.5,18.75,-1.0,1.0,0.5000000000000001,0.7195173585780691,-0.8282736175704579,-0.8837477699987599
대구,2023,49.951856129379614,0.702,15.0,14.0,12.5,18.75,-1.0,1.0,0.5980392156862745,1.4624026635397844,-1.1805033776197507,-0.8837477699987599
대구,2024,50.77927752456953,0.754,17.0,14.0,0.0,18.75,-3.0,3.0,0.4917229618288157,1.5766949744104428,-0.847486149936783,-0.8837477699987599
대전,2016,37.15270795015986,1.192,10.0,12.0,43.75,31.25,2.0,2.0,0.497854170829175,-1.4335622086515987,2.1341702216412917,-0.8308458791528447
