지역,연도,지표체계내_실질인구1인당예산_원,예산결측_사업수,log1p_지표체계내_실질인구1인당예산,종합재정대응지수_z,종합재정대응점수_0_100,연도별_종합재정대응순위,예산누락주의
서울,2022,461550.18652949244,0,13.042348240164625,0.1677590662765738,49.307349074573814,13.0,False
서울,2023,455103.3979587442,0,13.02828211767754,0.13924021608133808,48.94929003023998,13.0,False
서울,2024,497679.9829572512,0,13.117714554265818,0.3205631260729025,51.22583019307784,14.0,False
세종,2016,211572.2101806371,0,12.262326364999451,-1.4137234657621756,29.4515652622568,14.0,False
세종,2017,190280.70678563666,0,12.15626092036954,-1.6287695475141868,26.75162490727275,16.0,False
세종,2018,333138.9630266839,2,12.716317990046774,-0.49326232542275855,41.00811238810925,12.0,True
세종,2019,320928.4562565926,0,12.678976615520329,-0.5689713964323176,40.05757204628249,14.0,False
세종,2020,380538.878312081,0,12.849346255817395,-0.22354953238205577,44.39440265786556,14.0,False
세종,2021,310905.3723542994,0,12.64724709231251,-0.6333025239310914,39.249883732222145,15.0,False
세종,2022,355427.72129977914,0,12.781080005449171,-0.3619583205487565,42.65665663798385,14.0,False
세종,2023,548916.4776079718,0,13.215703395182404,0.5192340161828602,53.72017721488057,8.0,False
세종,2024,540665.7537402256,0,13.200558386037878,0.48852773963829227,53.33465465841947,11.0,False
울산,2016,393890.22446232487,0,12.8838300701181,-0.15363412142888905,45.27220260627585,5.0,False
울산,2017,1826634.7673587142,0,14.41798645443348,2.9568447003307337,84.32479647718706,1.0,False
울산,2018,633044.5969969813,0,13.358297731702635,0.8083418727114321,57.34997582560152,2.0,False
울산,2019,299921.2539487564,0,12.61127856654812,-0.7062281648786884,38.33428983112261,15.0,False
울산,2020,460368.8464815854,0,13.039785459509496,0.16256306733272963,49.242112418696884,10.0,False
울산,2021,580634.3238671942,0,13.27187816900305,0.6331275188743953,55.150129630577105,5.0,False
울산,2022,544509.770136983,0,13.207643001025435,0.5028916891706927,53.51499650275125,8.0,False
울산,2023,605119.2397721204,0,13.313182460691113,0.7168713443780989,56.20154768998138,4.0,False
울산,2024,623348.3205212153,0,13.342862347728756,0.7770468656004703,56.957061656136034,6.0,False
인천,2016,207796.63435298053,0,12.244319973333091,-1.450231152010546,28.99320501422987,15.0,False
인천,2017,219551.91613832448,0,12.299348558244285,-1.3386615299644529,30.39398071076147,14.0,False
