지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,log1p_인구1인당_실질예산,세부영역_재정대응지수_z,세부영역_재정대응점수_0_100
세종,2016,3-2. 산후조리 여건,980.0,2,0,83.786765,2024,1169.6358010719234,,243048,4812.365463085166,8.479151798912627,0.47826480558956397,86.65850394465991
세종,2017,3-2. 산후조리 여건,1500.0,2,0,85.339636,2024,1757.6826786559063,50.276066878686684,280100,6275.196996272426,8.744519502186376,0.7339738961406608,89.37061108772139
세종,2018,3-2. 산후조리 여건,1895.0,2,0,86.797969,2024,2183.230808084922,24.21074831063539,314126,6950.17543305846,8.846666051317241,0.8324026079204114,90.41456776413395
세종,2019,3-2. 산후조리 여건,2831.0,2,0,87.068452,2024,3251.4647211139118,48.92904172445327,340575,9546.98589477769,9.16408551016162,1.1382689215033666,93.65865350274579
세종,2020,3-2. 산후조리 여건,1380.0,2,0,87.535014,2024,1576.5120001008968,-51.51379038918795,355831,4430.50774131792,8.39649515306126,0.39861662128563796,85.8137376943987
세종,2021,3-2. 산후조리 여건,1652.0,2,0,89.802171,2024,1839.5991785098379,16.687927424092152,371895,4946.555287137063,8.506648852176701,0.5047610460749338,86.93952892867505
세종,2022,3-2. 산후조리 여건,2398.0,2,0,94.590336,2024,2535.1427021043673,37.80951479647607,383591,6608.973365132048,8.796334903356835,0.7839033673852074,89.90017409746726
세종,2023,3-2. 산후조리 여건,2388.0,2,0,97.706583,2024,2444.052311193812,-3.593107040283894,386525,6323.14161100527,8.75212959071073,0.7413069995724992,89.44838760382191
세종,2024,3-2. 산후조리 여건,1674.0,2,0,100.0,2024,1674.0,-31.507194329145726,390685,4284.781857506687,8.363058278216245,0.3663967514521592,85.47200663221564
세종,2016,3-3. 아동안전 수준,671.0,2,0,83.786765,2024,800.8424719584292,,243048,3294.997169112394,8.10046403214319,0.8814924567238054,83.01192118605432
세종,2017,3-3. 아동안전 수준,30.0,1,0,85.339636,2024,35.15365357311813,-95.61041593022019,280100,125.5039399254485,4.840273453338279,-0.5371429134956885,49.602145856471545
세종,2018,3-3. 아동안전 수준,1530.0,1,0,86.797969,2024,1762.7140561318897,4914.312530745967,314126,5611.48728896013,8.632749267274693,1.113110407684192,88.46667289063613
세종,2019,3-3. 아동안전 수준,0.0,0,0,87.068452,2024,0.0,-100.0,340575,0.0,0.0,-2.6433336273395467,0.0
세종,2020,3-3. 아동안전 수준,56.0,2,0,87.535014,2024,63.97440000409436,inf,355831,179.7887199375388,5.197329056285754,-0.3817741719351828,53.26117964185742
세종,2021,3-3. 아동안전 수준,56.0,1,0,89.802171,2024,62.359294186774164,-2.5246126844750916,371895,167.67984024193433,5.128002481770573,-0.4119408533993825,52.550734892406346
세종,2022,3-3. 아동안전 수준,0.0,0,0,94.590336,2024,0.0,-100.0,383591,0.0,0.0,-2.6433336273395467,0.0
세종,2023,3-3. 아동안전 수준,0.0,0,0,97.706583,2024,0.0,,386525,0.0,0.0,-2.6433336273395467,0.0
세종,2024,3-3. 아동안전 수준,871.0,2,0,100.0,2024,871.0,inf,390685,2229.417561462559,7.709944094218206,0.7115620850706901,79.00995164702846
세종,2016,4-1. 일·가정 양립 여건,6.0,2,0,83.786765,2024,7.161035516766878,,243048,29.46346201888877,3.416527998883983,-1.357246800285403,30.971173584882713
세종,2017,4-1. 일·가정 양립 여건,5.0,2,0,85.339636,2024,5.858942262186354,-18.18303025493726,280100,20.917323320908082,3.0872773433511846,-1.5326604985090486,27.986482925601216
세종,2018,4-1. 일·가정 양립 여건,0.0,1,1,86.797969,2024,0.0,-100.0,314126,0.0,0.0,-3.177458244964427,0.0
세종,2019,4-1. 일·가정 양립 여건,0.0,1,0,87.068452,2024,0.0,,340575,0.0,0.0,-3.177458244964427,0.0
세종,2020,4-1. 일·가정 양립 여건,0.0,1,0,87.535014,2024,0.0,,355831,0.0,0.0,-3.177458244964427,0.0
세종,2021,4-1. 일·가정 양립 여건,1593.0,3,0,89.802171,2024,1773.8992078487722,inf,371895,4769.892598310739,8.470288693904672,1.3352272724429701,76.78402797772573
세종,2022,4-1. 일·가정 양립 여건,1581.0,4,0,94.590336,2024,1671.4181034307776,-5.777166141377032,383591,4357.292281181721,8.379835580988924,1.287036889870408,75.96406131498458
세종,2023,4-1. 일·가정 양립 여건,2218.0,5,0,97.706583,2024,2270.0619875326106,35.816525073711226,386525,5873.001714074408,8.678291403565538,1.4460441346998079,78.66959368335932
세종,2024,4-1. 일·가정 양립 여건,2001.0,5,0,100.0,2024,2001.0,-11.852627329576194,390685,5121.773295621792,8.541451230690237,1.373140283526675,77.42912360704482
세종,2016,4-2. 사회적 가치관,27.0,3,0,83.786765,2024,32.22465982545095,,243048,132.58557908499947,4.894742314295955,-0.2838746271788118,51.8883740595345
세종,2017,4-2. 사회적 가치관,35.0,4,0,85.339636,2024,41.01259583530448,27.27084182565318,280100,146.4212632463566,4.993294224754117,-0.21023710444403096,52.933106972071975
세종,2018,4-2. 사회적 가치관,37.0,4,1,86.797969,2024,42.62772554044439,3.9381308894121947,314126,135.70263378531033,4.917808010444888,-0.26664004779151923,52.132889785362146
세종,2019,4-2. 사회적 가치관,103.0,6,0,87.068452,2024,118.29772740188375,177.51358042700417,340575,347.3470671713536,5.85319930223975,0.4322799142390668,62.048822049850365
세종,2020,4-2. 사회적 가치관,57.0,5,0,87.535014,2024,65.11680000416747,-44.955155577121786,355831,182.99923279356625,5.214931588000109,-0.04463071184312578,55.28264892366522
세종,2021,4-2. 사회적 가치관,56.0,8,0,89.802171,2024,62.359294186774164,-4.234707198782539,371895,167.67984024193433,5.128002481770573,-0.10958373007009502,54.36112748472755
세종,2022,4-2. 사회적 가치관,39.0,4,0,94.590336,2024,41.23042759886169,-33.88246589935541,383591,107.48538834034606,4.686615494237509,-0.4393860056241619,49.68205519787091
세종,2023,4-2. 사회적 가치관,40.0,4,0,97.706583,2024,40.93889968498847,-0.7070698288883737,386525,105.91526986608491,4.672036650356497,-0.45027924901989114,49.52750722453958
세종,2024,4-2. 사회적 가치관,40.0,3,0,100.0,2024,40.0,-2.2934169999999976,390685,102.38427377554808,4.638452859361728,-0.4753728992738589,49.17149087115889
울산,2016,1-1. 고용여건,0.0,0,0,83.786765,2024,0.0,,1172304,0.0,0.0,-4.9827634890310195,0.0
울산,2017,1-1. 고용여건,6820.0,7,0,85.339636,2024,7991.597245622187,inf,1165132,6858.962972111474,8.833457323053976,0.06476136091909639,79.07420304730496
울산,2018,1-1. 고용여건,17858.0,20,0,86.797969,2024,20574.21412706097,157.44808571692684,1155623,17803.569267019582,9.787210403732626,0.6097453008853787,87.61188676506616
울산,2019,1-1. 고용여건,8674.0,4,0,87.068452,2024,9962.276577513978,-51.57882329799058,1148019,8677.797647524978,9.068638278189239,0.19914608389524543,81.17946556447252
울산,2020,1-1. 고용여건,5365.0,11,0,87.535014,2024,6128.976000392255,-38.478158554380336,1136017,5395.144615258623,8.59344001742416,-0.0723869005461804,76.92564711205338
울산,2021,1-1. 고용여건,9005.0,20,0,89.802171,2024,10027.597216998238,63.60966687349521,1121592,8940.503513753876,9.098459032299425,0.2161859576287815,81.44641114187161
울산,2022,1-1. 고용여건,9621.0,21,0,94.590336,2024,10171.229331503802,1.432368207431467,1110663,9157.799738988157,9.122470416221066,0.22990629979988894,81.66135314908675
울산,2023,1-1. 고용여건,11671.0,18,0,97.706583,2024,11944.947455587511,17.438581574302848,1103661,10823.022155886192,9.289523216770757,0.32536192166922107,83.15675484597527
울산,2024,1-1. 고용여건,12933.0,25,0,100.0,2024,12933.0,8.271719470396711,1098049,11778.162905298397,9.374087394009884,0.37368272862168034,83.91374553229277
울산,2016,1-2. 주거안정성,0.0,0,0,83.786765,2024,0.0,,1172304,0.0,0.0,-2.1430285928748103,0.0
