지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의
제주,2020,816440.0,138,138,0,0,1.021,6,6,0,0,0,0.0,
제주,2021,704514.0,155,155,0,0,0.951,8,8,0,0,0,0.0,
제주,2022,913167.7,160,160,0,0,0.919,8,8,0,0,0,0.0,
제주,2023,1002935.0,160,160,0,0,0.827,8,8,0,0,0,0.0,
제주,2024,1047248.0,156,156,0,0,0.826,8,8,0,0,0,0.0,
충남,2016,1317305.0,421,420,1,0,1.395,6,2,4,0,2,72.29,
충남,2017,1301513.7999999998,420,420,0,0,1.276,6,0,0,6,0,,
충남,2018,1308334.9,465,463,2,0,1.186,6,0,0,6,0,,
충남,2019,1809236.0,454,454,0,0,1.112,5,3,2,0,0,0.11,
충남,2020,1425058.0,545,537,8,0,1.029,6,2,4,0,0,0.29,
충남,2021,1253034.0,624,624,0,0,0.963,8,5,3,0,0,0.0,
충남,2022,1666990.0,622,622,0,0,0.909,8,8,0,0,0,0.0,
충남,2023,1693900.0,660,660,0,0,0.842,8,4,4,0,0,0.01,
충남,2024,1060854.0,106,106,0,0,0.883,8,0,8,0,6,96.58,
충북,2016,1198606.0,380,378,2,0,1.358,6,2,4,0,1,41.86,
충북,2017,1184144.7,399,389,10,0,1.235,6,0,0,6,0,,
충북,2018,1087783.0,416,400,16,0,1.172,6,0,0,6,0,,
충북,2019,1216343.0,422,422,0,0,1.05,6,2,3,1,0,0.11,
충북,2020,1730007.0,467,467,0,0,0.983,6,4,2,0,0,0.9,
충북,2021,1856518.64,438,438,0,0,0.949,7,5,2,0,0,0.36,
충북,2022,1864639.7,492,492,0,0,0.871,8,8,0,0,0,0.0,
충북,2023,1875132.0,484,484,0,0,0.886,8,6,2,0,0,0.82,
충북,2024,2209471.0,501,501,0,0,0.882,8,5,3,0,0,0.0,
