연도,지역,대분류,중분류,구분,세부사업명,당해예산,전년도예산,증감액,증감율,출생환경_대영역,출생환경_세부영역
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,출산 인식개선 홍보,0.0,0.0,0.0,,4. 사회·문화,4-2. 사회적 가치관
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임신･출산에 대한 사회적 배려 강화,0.0,0.0,0.0,,4. 사회·문화,4-2. 사회적 가치관
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,출산 대응 민･관 협력체계 강화,0.0,0.0,0.0,,4. 사회·문화,4-2. 사회적 가치관
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,유치원･초등학생 구강보건사업,5.0,3.0,2.0,66.7,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,어린이 건강 체험관 운영,0.0,0.0,0.0,,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,완도군 출산장려 지원금 지원,1104.0,1258.0,-154.0,-12.2,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,자녀탄생축하카드발송 및 출산용품지원,12.0,38.0,-26.0,-68.4,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임산부 영양제 지원,4.0,8.0,-4.0,-50.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,풍진항체 검사비 지원,1.0,1.0,0.0,0.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,지역신문 신생아 출산 축하코너 게재,0.0,0.0,0.0,,4. 사회·문화,4-2. 사회적 가치관
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,셋째아 이상 돌맞이 축하금 지원,50.0,50.0,0.0,0.0,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,출산 전 준비금 지원,80.0,80.0,0.0,0.0,1. 경제·고용·주거,1-3. 경제적 여건
