지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도
울산,2022,938106.0,254,254,0,0,0.848,8,8,0,0,0,0.0,,0.94,0.984,0.04400000000000004
울산,2023,3219772.0,274,274,0,0,0.814,8,8,0,0,0,0.0,,0.848,0.94,0.09199999999999997
울산,2024,1273043.0,302,302,0,0,0.859,8,8,0,0,0,0.0,,0.814,0.848,0.03400000000000003
인천,2016,1094772.2,132,132,0,0,1.144,5,4,1,0,0,2.42,,,,
인천,2017,1161639.0,119,119,0,0,1.007,5,0,0,5,0,,,1.144,,
인천,2018,1453723.0,217,214,3,0,1.006,5,0,0,5,0,,,1.007,1.144,0.137
인천,2019,2137311.0,252,252,0,0,0.94,6,4,1,1,0,0.0,,1.006,1.007,0.0009999999999998899
인천,2020,2761790.0,305,305,0,0,0.829,6,4,2,0,0,0.0,,0.94,1.006,0.06600000000000006
인천,2021,3305518.2,367,367,0,0,0.778,8,6,2,0,0,0.03,,0.829,0.94,0.11099999999999999
인천,2022,4451688.0,377,371,6,0,0.747,8,8,0,0,0,0.0,,0.778,0.829,0.050999999999999934
인천,2023,4389696.0,336,336,0,0,0.694,8,8,0,0,0,0.0,,0.747,0.778,0.031000000000000028
인천,2024,4721370.0,328,328,0,0,0.762,8,8,0,0,0,0.0,,0.694,0.747,0.05300000000000005
전남,2016,1883685.9999999998,446,436,10,0,1.466,5,1,4,0,0,6.39,,,,
전남,2017,1392937.0,451,447,4,0,1.325,5,0,0,5,0,,,1.466,,
전남,2018,1647546.0,399,396,3,0,1.24,5,0,1,4,1,23.45,원자료에 자체사업 일부 세부내역이 없어 세부사업 합계가 과소대표될 수 있음,1.325,1.466,0.14100000000000001
전남,2019,1540331.0,487,487,0,0,1.234,6,3,2,1,0,0.07,,1.24,1.325,0.08499999999999996
전남,2020,1840688.0,499,499,0,0,1.145,6,5,1,0,0,1.54,,1.234,1.24,0.006000000000000005
전남,2021,1966392.42,524,524,0,0,1.017,8,8,0,0,0,0.0,,1.145,1.234,0.08899999999999997
전남,2022,2258897.4,552,547,5,0,0.969,7,6,1,0,0,0.0,,1.017,1.145,0.1280000000000001
전남,2023,2712169.0,628,628,0,0,0.972,8,6,2,0,0,0.02,,0.969,1.017,0.04799999999999993
전남,2024,2621833.0,468,466,2,0,1.028,8,5,3,0,0,0.19,,0.972,0.969,-0.0030000000000000027
전북,2016,1401390.0,280,266,14,0,1.251,5,5,0,0,0,0.0,,,,
전북,2017,1500137.7,318,318,0,0,1.151,5,0,0,5,0,,,1.251,,
전북,2018,1629235.5,380,365,15,0,1.044,6,0,0,6,0,,,1.151,1.251,0.09999999999999987
전북,2019,1908798.0,373,373,0,0,0.971,5,4,1,0,0,0.0,,1.044,1.151,0.10699999999999998
전북,2020,2018401.0,410,410,0,0,0.909,5,3,2,0,0,0.16,,0.971,1.044,0.07300000000000006
전북,2021,2200038.999,473,473,0,0,0.85,8,7,1,0,0,0.0,,0.909,0.971,0.061999999999999944
전북,2022,2540795.1,498,498,0,0,0.817,8,8,0,0,0,0.0,,0.85,0.909,0.05900000000000005
전북,2023,2695319.0,403,403,0,0,0.78,8,6,2,0,0,0.01,,0.817,0.85,0.03300000000000003
전북,2024,2862745.0,419,419,0,0,0.808,8,5,3,0,0,0.01,,0.78,0.817,0.03699999999999992
제주,2016,542630.0,130,117,13,0,1.432,6,5,1,0,0,0.0,,,,
제주,2017,542097.0,134,120,14,0,1.305,6,0,0,6,0,,,1.432,,
제주,2018,2211904.0,129,119,10,0,1.22,6,0,0,6,0,,,1.305,1.432,0.127
제주,2019,689085.0,135,135,0,0,1.145,6,5,1,0,0,0.0,,1.22,1.305,0.08499999999999996
제주,2020,816440.0,138,138,0,0,1.021,6,6,0,0,0,0.0,,1.145,1.22,0.07499999999999996
제주,2021,704514.0,155,155,0,0,0.951,8,8,0,0,0,0.0,,1.021,1.145,0.12400000000000011
제주,2022,913167.7,160,160,0,0,0.919,8,8,0,0,0,0.0,,0.951,1.021,0.06999999999999995
제주,2023,1002935.0,160,160,0,0,0.827,8,8,0,0,0,0.0,,0.919,0.951,0.03199999999999992
제주,2024,1047248.0,156,156,0,0,0.826,8,8,0,0,0,0.0,,0.827,0.919,0.09200000000000008
충남,2016,1317305.0,421,420,1,0,1.395,6,2,4,0,2,72.29,,,,
충남,2017,1301513.7999999998,420,420,0,0,1.276,6,0,0,6,0,,,1.395,,
충남,2018,1308334.9,465,463,2,0,1.186,6,0,0,6,0,,,1.276,1.395,0.119
충남,2019,1809236.0,454,454,0,0,1.112,5,3,2,0,0,0.11,,1.186,1.276,0.09000000000000008
충남,2020,1425058.0,545,537,8,0,1.029,6,2,4,0,0,0.29,,1.112,1.186,0.07399999999999984
충남,2021,1253034.0,624,624,0,0,0.963,8,5,3,0,0,0.0,,1.029,1.112,0.08300000000000018
충남,2022,1666990.0,622,622,0,0,0.909,8,8,0,0,0,0.0,,0.963,1.029,0.06599999999999995
충남,2023,1693900.0,660,660,0,0,0.842,8,4,4,0,0,0.01,,0.909,0.963,0.05399999999999994
충남,2024,1060854.0,106,106,0,0,0.883,8,0,8,0,6,96.58,,0.842,0.909,0.06700000000000006
충북,2016,1198606.0,380,378,2,0,1.358,6,2,4,0,1,41.86,,,,
충북,2017,1184144.7,399,389,10,0,1.235,6,0,0,6,0,,,1.358,,
충북,2018,1087783.0,416,400,16,0,1.172,6,0,0,6,0,,,1.235,1.358,0.123
충북,2019,1216343.0,422,422,0,0,1.05,6,2,3,1,0,0.11,,1.172,1.235,0.06300000000000017
충북,2020,1730007.0,467,467,0,0,0.983,6,4,2,0,0,0.9,,1.05,1.172,0.12199999999999989
충북,2021,1856518.64,438,438,0,0,0.949,7,5,2,0,0,0.36,,0.983,1.05,0.06700000000000006
충북,2022,1864639.7,492,492,0,0,0.871,8,8,0,0,0,0.0,,0.949,0.983,0.03400000000000003
충북,2023,1875132.0,484,484,0,0,0.886,8,6,2,0,0,0.82,,0.871,0.949,0.07799999999999996
충북,2024,2209471.0,501,501,0,0,0.882,8,5,3,0,0,0.0,,0.886,0.871,-0.015000000000000013
